aclnn_api,torch_npu,torch_npu_via_ops,mindspore,mindspore_pyboost,mindspore_kbk,mindspore_via_ops
aclnnForeachPowScalar,✅,,✖️,✖️,✖️,
aclnnForeachPowScalarAndTensor,✅,_foreach_pow.List;_foreach_pow.Scalar;_foreach_pow.ScalarAndTensor;_foreach_pow.ScalarList,✖️,✖️,✖️,
aclnnForeachPowScalarList,✅,_foreach_pow.List;_foreach_pow.Scalar;_foreach_pow.ScalarAndTensor;_foreach_pow.ScalarList;_foreach_pow_.List;_foreach_pow_.Scalar;_foreach_pow_.ScalarList,✖️,✖️,✖️,
aclnnForeachPowScalarV2,✅,_foreach_pow.List;_foreach_pow.Scalar;_foreach_pow.ScalarAndTensor;_foreach_pow.ScalarList;_foreach_pow_.List;_foreach_pow_.Scalar;_foreach_pow_.ScalarList,✖️,✖️,✖️,
aclnnForeachReciprocal,✅,_foreach_reciprocal;_foreach_reciprocal_,✖️,✖️,✖️,
aclnnForeachRoundOffNumber,✅,,✖️,✖️,✖️,
aclnnForeachRoundOffNumberV2,✅,_foreach_ceil;_foreach_ceil_;_foreach_floor;_foreach_floor_;_foreach_frac;_foreach_frac_;_foreach_round;_foreach_round_;_foreach_trunc;_foreach_trunc_,✖️,✖️,✖️,
aclnnForeachSigmoid,✅,_foreach_sigmoid;_foreach_sigmoid_,✖️,✖️,✖️,
aclnnForeachSign,✅,_foreach_sign;_foreach_sign_,✖️,✖️,✖️,
aclnnForeachSin,✅,_foreach_sin;_foreach_sin_,✖️,✖️,✖️,
aclnnForeachSinh,✅,_foreach_sinh;_foreach_sinh_,✖️,✖️,✖️,
aclnnForeachSqrt,✅,_foreach_sqrt;_foreach_sqrt_,✖️,✖️,✖️,
aclnnForeachSubList,✅,,✖️,✖️,✖️,
aclnnForeachSubListV2,✅,_foreach_sub.List;_foreach_sub.Scalar;_foreach_sub.ScalarList;_foreach_sub_.List;_foreach_sub_.Scalar;_foreach_sub_.ScalarList,✖️,✖️,✖️,
aclnnForeachSubScalar,✅,,✖️,✖️,✖️,
aclnnForeachSubScalarList,✅,_foreach_sub.List;_foreach_sub.Scalar;_foreach_sub.ScalarList;_foreach_sub_.List;_foreach_sub_.Scalar;_foreach_sub_.ScalarList,✖️,✖️,✖️,
aclnnForeachSubScalarV2,✅,_foreach_sub.List;_foreach_sub.Scalar;_foreach_sub.ScalarList;_foreach_sub_.List;_foreach_sub_.Scalar;_foreach_sub_.ScalarList,✖️,✖️,✖️,
aclnnForeachTan,✅,_foreach_tan;_foreach_tan_,✖️,✖️,✖️,
aclnnForeachTanh,✅,_foreach_tanh;_foreach_tanh_,✖️,✖️,✖️,
aclnnForeachZeroInplace,✅,_foreach_zero_,✖️,✖️,✖️,
aclnnFrac,✅,frac;frac.out,✅,✅,✅,Frac
aclnnFusedCrossEntropyLossWithMaxSum,✅,fused_cross_entropy_loss_with_max_sum,✖️,✖️,✖️,
aclnnFusedInferAttentionScore,✖️,,✖️,✖️,✖️,
aclnnFusedInferAttentionScoreV2,✖️,,✅,✅,✅,FusedInferAttentionScore
aclnnFusedInferAttentionScoreV3,✖️,,✖️,✖️,✖️,
aclnnFusedInferAttentionScoreV4,✖️,,✖️,✖️,✖️,
aclnnFusedLinearCrossEntropyLossGrad,✅,fused_linear_cross_entropy_loss_with_max_sum_grad,✖️,✖️,✖️,
aclnnFusedLinearOnlineMaxSum,✅,fused_linear_online_max_sum,✖️,✖️,✖️,
aclnnGather,✅,gather;gather.dimname;gather.dimname_out;gather.out;npu_top_k_top_p_sample,✅,✅,✅,GatherD
aclnnGatherNd,✖️,,✅,✅,✅,GatherNdExt
aclnnGatherPaKvCache,✖️,,✖️,✖️,✖️,
aclnnGatherV2,✖️,,✖️,✖️,✖️,
aclnnGatherV3,✅,npu_gather_sparse_index,✖️,✖️,✖️,
aclnnGcd,✅,gcd.out,✅,✅,✅,Gcd
aclnnGeGlu,✖️,,✖️,✖️,✖️,
aclnnGeGluBackward,✖️,,✖️,✖️,✖️,
aclnnGeGluV3,✅,npu_geglu,✖️,✖️,✖️,
aclnnGeGluV3Backward,✅,npu_geglu_grad,✖️,✖️,✖️,
aclnnGeScalar,✅,ge.Scalar;ge.Scalar_out;ge.Tensor;ge.Tensor_out,✅,✅,✅,GreaterEqualScalar
aclnnGeTensor,✅,ge.Scalar;ge.Scalar_out;ge.Tensor;ge.Tensor_out,✅,✅,✅,GreaterEqual
aclnnGelu,✅,gelu.out,✅,✅,✅,GeLU
aclnnGeluBackward,✅,gelu_backward,✅,✅,✅,GeLUGrad;GeluGrad
aclnnGeluBackwardV2,✅,gelu_backward;npu_gelu_backward,✅,✅,✅,GeluGradExt
aclnnGeluMul,✅,npu_gelu_mul,✖️,✖️,✖️,
aclnnGeluV2,✅,gelu.out;npu_gelu,✅,✅,✅,GeluExt
aclnnGemm,✖️,,✖️,✖️,✖️,
aclnnGemmaRmsNorm,✅,npu_gemma_rms_norm,✖️,✖️,✖️,
aclnnGer,✖️,,✖️,✖️,✖️,
aclnnGlobalAveragePool,✖️,,✖️,✖️,✖️,
aclnnGlobalMaxPool,✖️,,✖️,✖️,✖️,
aclnnGlu,✅,glu;glu.out,✅,✅,✅,GLU
aclnnGluBackward,✅,glu_backward;glu_backward.grad_input,✅,✅,✅,GluGrad
aclnnGridSampler2D,✅,grid_sampler_2d,✅,✅,✅,GridSampler2D
aclnnGridSampler2DBackward,✅,grid_sampler_2d_backward,✅,✅,✅,GridSampler2DGrad;GridSampler2dGrad
aclnnGridSampler3D,✅,grid_sampler_3d,✅,✅,✅,GridSampler3D
aclnnGridSampler3DBackward,✅,grid_sampler_3d_backward,✅,✅,✅,GridSampler3DGrad;GridSampler3dGrad
aclnnGroupNorm,✅,native_group_norm,✅,✅,✅,GroupNorm
aclnnGroupNormBackward,✅,native_group_norm_backward,✅,✅,✅,GroupNormGrad
aclnnGroupNormSilu,✅,npu_group_norm_silu,✖️,✖️,✖️,
aclnnGroupNormSiluV2,✖️,,✖️,✖️,✖️,
aclnnGroupNormSwish,✅,npu_group_norm_swish,✖️,✖️,✖️,
aclnnGroupNormSwishGrad,✅,npu_group_norm_swish_grad,✖️,✖️,✖️,
aclnnGroupQuant,✅,npu_group_quant,✖️,✖️,✖️,
aclnnGroupedBiasAddGrad,✖️,,✖️,✖️,✖️,
aclnnGroupedBiasAddGradV2,✖️,,✖️,✖️,✖️,
aclnnGroupedMatMulAllReduce,✖️,,✖️,✖️,✖️,
aclnnGroupedMatMulAlltoAllv,✅,,✖️,✖️,✖️,
aclnnGroupedMatmul,✅,npu_grouped_matmul;npu_grouped_matmul.List,✖️,✖️,✖️,
aclnnGroupedMatmulAdd,✅,npu_grouped_matmul_add,✖️,✖️,✖️,
aclnnGroupedMatmulFinalizeRouting,✖️,,✖️,✖️,✖️,
aclnnGroupedMatmulFinalizeRoutingV2,✅,npu_grouped_matmul_finalize_routing,✖️,✖️,✖️,
aclnnGroupedMatmulFinalizeRoutingV3,✅,npu_grouped_matmul_finalize_routing,✖️,✖️,✖️,
aclnnGroupedMatmulFinalizeRoutingWeightNz,✅,npu_grouped_matmul_finalize_routing,✖️,✖️,✖️,
aclnnGroupedMatmulFinalizeRoutingWeightNzV2,✅,npu_grouped_matmul_finalize_routing,✖️,✖️,✖️,
aclnnGroupedMatmulSwigluQuant,✖️,,✖️,✖️,✖️,
aclnnGroupedMatmulSwigluQuantV2,✖️,,✖️,✖️,✖️,
aclnnGroupedMatmulSwigluQuantWeightNZ,✖️,,✖️,✖️,✖️,
aclnnGroupedMatmulV2,✖️,,✅,✅,✅,GroupedMatmulV2
aclnnGroupedMatmulV3,✖️,,✅,✅,✅,GroupedMatmul
aclnnGroupedMatmulV4,✅,npu_grouped_matmul;npu_grouped_matmul.List,✅,✅,✅,GroupedMatmulV4
aclnnGroupedMatmulV5,✅,npu_grouped_matmul;npu_grouped_matmul.List,✖️,✖️,✖️,
aclnnGroupedMatmulWeightNz,✅,npu_grouped_matmul;npu_grouped_matmul.List,✖️,✖️,✖️,
aclnnGtScalar,✅,gt.Scalar;gt.Scalar_out;gt.Tensor;gt.Tensor_out,✖️,✖️,✖️,
aclnnGtTensor,✅,gt.Scalar;gt.Scalar_out;gt.Tensor;gt.Tensor_out,✅,✅,✅,Greater
aclnnHardshrink,✅,hardshrink;hardshrink.out,✅,✅,✅,HShrink;Hshrink
aclnnHardshrinkBackward,✅,hardshrink_backward;hardshrink_backward.grad_input,✅,✅,✅,HShrinkGrad;HshrinkGrad
aclnnHardsigmoid,✅,hardsigmoid;hardsigmoid.out,✅,✅,✅,HSigmoid
aclnnHardsigmoidBackward,✅,hardsigmoid_backward,✅,✅,✅,HSigmoidGrad
aclnnHardswish,✅,hardswish;hardswish.out,✅,✅,✅,HSwish
aclnnHardswishBackward,✅,hardswish_backward,✅,✅,✅,HSwishGrad
aclnnHardswishBackwardV2,✖️,,✖️,✖️,✖️,
aclnnHardtanh,✅,hardtanh;hardtanh.out,✅,✅,✅,Hardtanh
aclnnHardtanhBackward,✅,hardtanh_backward;hardtanh_backward.grad_input,✅,✅,✅,HardtanhGrad
aclnnHeaviside,✖️,,✖️,✖️,✖️,
aclnnHistc,✅,histc;histc.out,✅,✅,✅,HistcExt
aclnnIm2col,✅,im2col;im2col.out,✅,✅,✅,Col2ImGrad;Im2ColExt
aclnnIm2colBackward,✅,col2im;col2im.out,✅,✅,✅,Col2ImExt
aclnnIncreFlashAttention,✖️,,✖️,✖️,✖️,
aclnnIncreFlashAttentionV2,✖️,,✖️,✖️,✖️,
aclnnIncreFlashAttentionV3,✖️,,✖️,✖️,✖️,
aclnnIncreFlashAttentionV4,✖️,,✅,✅,✅,IncreFlashAttention
aclnnIndex,✅,index.Tensor,✅,✅,✅,InnerIndex
aclnnIndexAdd,✅,index_add;index_add.dimname;index_add.out,✅,✅,✅,IndexAddExt;InplaceIndexAdd;InplaceIndexAddExt
aclnnIndexCopy,✅,index_copy;index_copy.out,✖️,✖️,✖️,
aclnnIndexFill,✅,index_fill.int_Scalar;index_fill.int_Tensor,✖️,✖️,✖️,
aclnnIndexFillTensor,✅,index_fill.int_Scalar;index_fill.int_Tensor,✅,✅,✅,IndexFillScalar;IndexFillTensor
aclnnIndexPutImpl,✅,_index_put_impl_;index_put;index_put_,✅,✅,✅,InnerInplaceIndexPut
aclnnIndexSelect,✅,index_select;index_select.dimname;index_select.dimname_out;index_select.out,✅,✅,✅,IndexSelect
aclnnInit,✖️,,✖️,✖️,✖️,
aclnnInplaceAcos,✅,acos_,✖️,✖️,✖️,
aclnnInplaceAcosh,✅,acosh_,✖️,✖️,✖️,
aclnnInplaceAdd,✅,add_.Scalar;add_.Tensor,✅,✅,✅,InplaceAddExt
aclnnInplaceAddRelu,✅,_add_relu_.Tensor,✖️,✖️,✖️,
aclnnInplaceAddRmsNorm,✅,npu_add_rms_norm_v2;npu_add_rms_norm_v2_functional,✖️,✖️,✖️,
aclnnInplaceAddbmm,✖️,,✖️,✖️,✖️,
aclnnInplaceAddcdiv,✅,addcdiv_,✖️,✖️,✖️,
aclnnInplaceAddcmul,✅,addcmul_,✖️,✖️,✖️,
aclnnInplaceAddmm,✅,addmm_,✅,✅,✅,InplaceAddmm
aclnnInplaceAddr,✅,addr_,✖️,✖️,✖️,
aclnnInplaceAdds,✅,add_.Scalar;add_.Tensor,✅,✅,✅,InplaceAddsExt
aclnnInplaceAsin,✅,asin_,✖️,✖️,✖️,
aclnnInplaceAsinh,✅,asinh_,✖️,✖️,✖️,
aclnnInplaceAtan,✅,atan_,✖️,✖️,✖️,
aclnnInplaceAtan2,✅,atan2_,✖️,✖️,✖️,
aclnnInplaceAtanh,✅,atanh_,✖️,✖️,✖️,
aclnnInplaceAttentionWorkerScheduler,✅,attention_worker_scheduler;attention_worker_scheduler_,✖️,✖️,✖️,
aclnnInplaceBaddbmm,✖️,,✖️,✖️,✖️,
aclnnInplaceBernoulli,✅,bernoulli;bernoulli.out;bernoulli.p;bernoulli_.Tensor;bernoulli_.float,✅,✅,✅,InplaceBernoulliScalar
aclnnInplaceBernoulliTensor,✅,bernoulli;bernoulli.out;bernoulli.p;bernoulli_.Tensor;bernoulli_.float,✅,✅,✅,BernoulliExt;InplaceBernoulliTensor
aclnnInplaceBitwiseAndScalar,✅,bitwise_and_.Scalar;bitwise_and_.Tensor,✖️,✖️,✖️,
aclnnInplaceBitwiseAndTensor,✅,bitwise_and_.Scalar;bitwise_and_.Tensor,✖️,✖️,✖️,
aclnnInplaceBitwiseOrScalar,✖️,,✖️,✖️,✖️,
aclnnInplaceBitwiseOrTensor,✖️,,✖️,✖️,✖️,
aclnnInplaceBitwiseXorScalar,✅,bitwise_xor_.Scalar;bitwise_xor_.Tensor,✖️,✖️,✖️,
aclnnInplaceBitwiseXorTensor,✅,bitwise_xor_.Scalar;bitwise_xor_.Tensor,✖️,✖️,✖️,
aclnnInplaceCeil,✅,ceil_,✖️,✖️,✖️,
aclnnInplaceCelu,✅,celu_,✖️,✖️,✖️,
aclnnInplaceClampMax,✅,clamp_max_,✖️,✖️,✖️,
aclnnInplaceClampMaxTensor,✅,clamp_max_.Tensor,✖️,✖️,✖️,
aclnnInplaceClampMinTensor,✅,clamp_min_.Tensor,✖️,✖️,✖️,
aclnnInplaceCopy,✖️,,✅,✅,✅,Clone;Contiguous;Copy;IndexAddExt;InplaceCopy;MaskedFill;MaskedFillScalar;MaskedScatter;SilentCheckV2;SilentCheckV3;TensorScatterAdd;TypeAs
aclnnInplaceCos,✅,cos_,✖️,✖️,✖️,
aclnnInplaceCosh,✅,cosh_,✖️,✖️,✖️,
aclnnInplaceCumprod,✖️,,✖️,✖️,✖️,
aclnnInplaceDiv,✅,div_.Scalar;div_.Scalar_mode;div_.Tensor;div_.Tensor_mode,✅,✅,✅,InplaceDiv
aclnnInplaceDivMod,✅,div_.Scalar;div_.Scalar_mode;div_.Tensor;div_.Tensor_mode,✅,✅,✅,InplaceDivmod
aclnnInplaceDivMods,✅,div_.Scalar;div_.Scalar_mode;div_.Tensor;div_.Tensor_mode,✅,✅,✅,InplaceDivmods
aclnnInplaceDivs,✅,div_.Scalar;div_.Scalar_mode;div_.Tensor;div_.Tensor_mode,✅,✅,✅,InplaceDivs
aclnnInplaceElu,✅,elu_,✅,✅,✅,InplaceElu
aclnnInplaceEqScalar,✅,eq_.Scalar;eq_.Tensor,✖️,✖️,✖️,
aclnnInplaceEqTensor,✅,eq_.Scalar;eq_.Tensor,✖️,✖️,✖️,
aclnnInplaceErf,✅,erf_,✖️,✖️,✖️,
aclnnInplaceErfc,✅,erfc_,✖️,✖️,✖️,
aclnnInplaceErfinv,✅,erfinv_,✅,✅,✅,InplaceErfinv
aclnnInplaceExp,✅,exp_,✅,✅,✅,InplaceExp
aclnnInplaceExp2,✅,exp2_,✖️,✖️,✖️,
aclnnInplaceExpm1,✅,expm1_,✖️,✖️,✖️,
aclnnInplaceFfnWorkerScheduler,✅,ffn_worker_scheduler;ffn_worker_scheduler_,✖️,✖️,✖️,
aclnnInplaceFillDiagonal,✅,fill_diagonal_,✅,✅,✅,InplaceFillDiagonal
aclnnInplaceFillScalar,✅,fill_.Scalar;fill_.Tensor,✅,✅,✅,FillScalar;FillTensor;FullLike;InplaceFillScalar;InplaceFillTensor;NewFull;NewOnes
aclnnInplaceFillTensor,✅,fill_.Scalar;fill_.Tensor,✅,✅,✅,FillTensor;InplaceFillTensor
aclnnInplaceFloor,✅,floor_,✅,✅,✅,InplaceFloor
aclnnInplaceFloorDivide,✅,floor_divide_.Scalar;floor_divide_.Tensor,✅,✅,✅,InplaceFloorDivide
aclnnInplaceFloorDivides,✅,floor_divide_.Scalar;floor_divide_.Tensor,✅,✅,✅,InplaceFloorDivides
aclnnInplaceFmodScalar,✅,fmod_.Scalar;fmod_.Tensor,✖️,✖️,✖️,
aclnnInplaceFmodTensor,✅,fmod_.Scalar;fmod_.Tensor,✖️,✖️,✖️,
aclnnInplaceFrac,✅,frac_,✖️,✖️,✖️,
aclnnInplaceGeScalar,✅,ge_.Scalar;ge_.Tensor,✖️,✖️,✖️,
aclnnInplaceGeTensor,✅,ge_.Scalar;ge_.Tensor,✖️,✖️,✖️,
aclnnInplaceGtScalar,✅,gt_.Scalar;gt_.Tensor,✖️,✖️,✖️,
aclnnInplaceGtTensor,✅,gt_.Scalar;gt_.Tensor,✖️,✖️,✖️,
aclnnInplaceHardsigmoid,✅,hardsigmoid_,✖️,✖️,✖️,
aclnnInplaceHardswish,✅,hardswish_,✖️,✖️,✖️,
aclnnInplaceHardtanh,✅,hardtanh_,✅,✅,✅,InplaceHardtanh
aclnnInplaceIndexCopy,✅,index_copy_,✅,✅,✅,InplaceIndexCopy
aclnnInplaceIndexFill,✅,index_fill_.int_Scalar;index_fill_.int_Tensor,✖️,✖️,✖️,
aclnnInplaceIndexFillTensor,✅,index_fill_.int_Scalar;index_fill_.int_Tensor,✅,✅,✅,InplaceIndexFillScalar;InplaceIndexFillTensor
aclnnInplaceLeScalar,✅,le_.Scalar;le_.Tensor,✖️,✖️,✖️,
aclnnInplaceLeTensor,✅,le_.Scalar;le_.Tensor,✖️,✖️,✖️,
aclnnInplaceLeakyRelu,✅,leaky_relu_,✖️,✖️,✖️,
aclnnInplaceLerp,✅,lerp_.Tensor,✖️,✖️,✖️,
aclnnInplaceLerps,✅,lerp_.Scalar,✖️,✖️,✖️,
aclnnInplaceLog,✅,log_,✅,✅,✅,InplaceLog
aclnnInplaceLog10,✅,log10_,✖️,✖️,✖️,
aclnnInplaceLog1p,✅,log1p_,✖️,✖️,✖️,
aclnnInplaceLog2,✅,log2_,✖️,✖️,✖️,
aclnnInplaceLogicalAnd,✅,logical_and_,✖️,✖️,✖️,
aclnnInplaceLogicalNot,✅,logical_not_,✖️,✖️,✖️,
aclnnInplaceLogicalOr,✅,logical_or_,✖️,✖️,✖️,
aclnnInplaceLtScalar,✅,lt_.Scalar;lt_.Tensor,✖️,✖️,✖️,
aclnnInplaceLtTensor,✅,lt_.Scalar;lt_.Tensor,✖️,✖️,✖️,
aclnnInplaceMaskedFillScalar,✅,masked_fill_.Scalar;masked_fill_.Tensor,✅,✅,✅,InplaceMaskedFillScalar;MaskedFillScalar
aclnnInplaceMaskedFillTensor,✅,,✅,✅,✅,InplaceMaskedFillTensor;MaskedFill
aclnnInplaceMaskedScatter,✅,,✅,✅,✅,InplaceMaskedScatter;MaskedScatter;MaskedSelectGrad
aclnnInplaceMatmulAllReduceAddRmsNorm,✖️,,✖️,✖️,✖️,
aclnnInplaceMish,✅,mish_,✖️,✖️,✖️,
aclnnInplaceMul,✅,mul_.Scalar;mul_.Tensor,✅,✅,✅,InplaceMul
aclnnInplaceMuls,✅,mul_.Scalar;mul_.Tensor,✅,✅,✅,InplaceMuls
aclnnInplaceNanToNum,✅,nan_to_num_,✖️,✖️,✖️,
aclnnInplaceNeScalar,✅,ne_.Scalar;ne_.Tensor,✖️,✖️,✖️,
aclnnInplaceNeTensor,✅,ne_.Scalar;ne_.Tensor,✖️,✖️,✖️,
aclnnInplaceNeg,✖️,,✖️,✖️,✖️,
aclnnInplaceNormal,✅,normal_,✅,✅,✅,InplaceNormal;Randn;RandnLike
aclnnInplaceNormalTensor,✅,normal_,✖️,✖️,✖️,
aclnnInplaceOne,✅,one_;ones;ones.names;ones.out;ones_like,✅,✅,✅,Ones;OnesLikeExt
aclnnInplacePowTensorScalar,✅,pow_.Scalar,✖️,✖️,✖️,
aclnnInplacePowTensorTensor,✅,pow_.Tensor,✖️,✖️,✖️,
aclnnInplacePut,✅,,✅,✅,✅,InplacePut
aclnnInplaceQuantMatmulAllReduceAddRmsNorm,✖️,,✖️,✖️,✖️,
aclnnInplaceQuantScatter,✅,npu_quant_scatter;npu_quant_scatter_,✖️,✖️,✖️,
aclnnInplaceRReluWithNoise,✅,rrelu_with_noise_,✖️,✖️,✖️,
aclnnInplaceRandom,✅,random_;random_.from;random_.to,✅,✅,✅,InplaceRandom;RandInt;Randint;RandintLike
aclnnInplaceRandomTensor,✅,,✖️,✖️,✖️,
aclnnInplaceReciprocal,✅,reciprocal_,✖️,✖️,✖️,
aclnnInplaceRelu,✅,relu_,✅,✅,✅,InplaceReLU;InplaceRelu
aclnnInplaceRemainderTensorScalar,✅,remainder_.Scalar;remainder_.Tensor,✅,✅,✅,InplaceRemainderTensorScalar
aclnnInplaceRemainderTensorTensor,✅,remainder_.Scalar;remainder_.Tensor,✅,✅,✅,InplaceRemainderTensorTensor
aclnnInplaceRenorm,✅,renorm_,✖️,✖️,✖️,
aclnnInplaceRound,✅,round_,✖️,✖️,✖️,
aclnnInplaceRoundDecimals,✅,round_;round_.decimals,✖️,✖️,✖️,
aclnnInplaceRsqrt,✅,rsqrt_,✖️,✖️,✖️,
aclnnInplaceScatter,✅,scatter_.src;scatter_.value,✅,✅,✅,InplaceScatterSrc;InplaceScatterSrcReduce
aclnnInplaceScatterUpdate,✅,scatter_update_,✅,✅,✅,KVCacheScatterUpdate;KvCacheScatterUpdate
aclnnInplaceScatterValue,✅,scatter_.src;scatter_.value,✅,✅,✅,InplaceScatterValue;InplaceScatterValueReduce
aclnnInplaceSelu,✖️,,✖️,✖️,✖️,
aclnnInplaceSigmoid,✅,sigmoid_,✅,✅,✅,InplaceSigmoid
aclnnInplaceSin,✅,sin_,✖️,✖️,✖️,
aclnnInplaceSinc,✅,sinc_,✖️,✖️,✖️,
aclnnInplaceSinh,✅,sinh_,✖️,✖️,✖️,
aclnnInplaceSqrt,✅,sqrt_,✖️,✖️,✖️,
aclnnInplaceSub,✅,sub_.Scalar;sub_.Tensor,✅,✅,✖️,InplaceSubExt
aclnnInplaceSubs,✅,sub_.Scalar;sub_.Tensor,✅,✅,✅,InplaceSubScalar
aclnnInplaceTan,✅,tan_,✖️,✖️,✖️,
aclnnInplaceTanh,✅,tanh_,✅,✅,✅,InplaceTanh
aclnnInplaceThreshold,✅,threshold_,✅,✅,✅,InplaceThreshold
aclnnInplaceTril,✅,tril_,✖️,✖️,✖️,
aclnnInplaceTriu,✅,triu_,✖️,✖️,✖️,
aclnnInplaceTrunc,✅,trunc_,✖️,✖️,✖️,
aclnnInplaceUniform,✅,uniform_,✅,✅,✅,InplaceUniform;RandExt;RandLikeExt;UniformExt
aclnnInplaceUniformTensor,✅,uniform_,✖️,✖️,✖️,
aclnnInplaceWeightQuantMatmulAllReduceAddRmsNorm,✖️,,✖️,✖️,✖️,
aclnnInplaceXLogYScalarOther,✅,xlogy_.Scalar_Other,✖️,✖️,✖️,
aclnnInplaceXLogYTensor,✖️,,✖️,✖️,✖️,
aclnnInplaceZero,✅,zero_;zeros;zeros.names;zeros.out,✅,✅,✅,GatherDGradV2;InplaceZero;IsInf;Isinf;MaskedSelectGrad;MultiScaleDeformableAttnGrad;NewZeros;Zeros;ZerosLikeExt
aclnnInstanceNorm,✖️,,✖️,✖️,✖️,
aclnnInverse,✅,inverse;inverse.out,✅,✅,✅,MatrixInverseExt
aclnnIou,✖️,,✖️,✖️,✖️,
aclnnIsClose,✅,isclose,✅,✅,✅,IsClose;Isclose
aclnnIsFinite,✅,isfinite,✅,✅,✅,IsFinite
aclnnIsInScalarTensor,✅,isin.Scalar_Tensor_out,✖️,✖️,✖️,
aclnnIsInTensorScalar,✅,isin.Tensor_Scalar;isin.Tensor_Scalar_out,✖️,✖️,✖️,
aclnnIsInf,✖️,,✅,✅,✅,IsInf
aclnnIsNegInf,✅,isneginf.out,✅,✅,✅,IsNegInf
aclnnIsPosInf,✅,isposinf.out,✖️,✖️,✖️,
aclnnKlDiv,✅,kl_div,✅,✅,✅,KLDiv;KlDiv
aclnnKlDivBackward,✅,kl_div_backward,✅,✅,✅,KLDivGrad;KlDivGrad
aclnnKthvalue,✅,kthvalue;kthvalue.dimname;kthvalue.dimname_out;kthvalue.values,✅,✅,✅,Kthvalue
aclnnL1Loss,✅,l1_loss,✅,✅,✅,L1LossExt
aclnnL1LossBackward,✅,l1_loss_backward,✅,✅,✅,L1LossBackwardExt
aclnnLayerNorm,✅,,✅,✅,✅,LayerNormExt
aclnnLayerNormBackward,✅,native_layer_norm_backward,✅,✅,✅,LayerNormGradExt
aclnnLayerNormWithImplMode,✖️,,✖️,✖️,✖️,
aclnnLeScalar,✅,le.Scalar;le.Scalar_out;le.Tensor;le.Tensor_out,✖️,✖️,✖️,
aclnnLeTensor,✅,le.Scalar;le.Scalar_out;le.Tensor;le.Tensor_out,✅,✅,✅,LessEqual
aclnnLeakyRelu,✅,leaky_relu;leaky_relu.out,✅,✅,✅,LeakyReLUExt
aclnnLeakyReluBackward,✅,leaky_relu_backward;leaky_relu_backward.grad_input,✅,✅,✅,LeakyReLUGradExt
aclnnLerp,✅,lerp.Tensor;lerp.Tensor_out,✅,✅,✅,Lerp
aclnnLerps,✅,lerp.Scalar;lerp.Scalar_out,✅,✅,✅,LerpScalar
aclnnLgamma,✖️,,✖️,✖️,✖️,
aclnnLightningIndexerGrad,✖️,,✅,✅,✅,LightningIndexerGrad
aclnnLinalgCholesky,✅,linalg_cholesky;linalg_cholesky.out,✖️,✖️,✖️,
aclnnLinalgCross,✅,linalg_cross;linalg_cross.out,✅,✅,✅,Cross
aclnnLinalgQr,✅,linalg_qr;linalg_qr.out,✅,✅,✅,LinalgQr
aclnnLinalgVectorNorm,✅,linalg_vector_norm;linalg_vector_norm.out,✅,✅,✅,LinalgVectorNorm
aclnnLinspace,✅,linspace;linspace.out,✅,✅,✅,LinSpaceExt
aclnnLog,✅,log;log.out,✅,✅,✅,Log
aclnnLog10,✅,log10;log10.out,✅,✅,✅,Log10
aclnnLog1p,✅,log1p;log1p.out,✅,✅,✅,Log1p
aclnnLog2,✅,log2;log2.out,✅,✅,✅,Log2
aclnnLogAddExp,✅,logaddexp;logaddexp.out,✅,✅,✅,LogAddExp
aclnnLogAddExp2,✅,logaddexp2;logaddexp2.out,✅,✅,✅,LogAddExp2
aclnnLogSigmoid,✅,log_sigmoid;log_sigmoid.out;log_sigmoid_forward;log_sigmoid_forward.output,✖️,✖️,✖️,
aclnnLogSigmoidBackward,✅,log_sigmoid_backward;log_sigmoid_backward.grad_input,✅,✅,✅,LogSigmoidGrad
aclnnLogSigmoidForward,✅,log_sigmoid_forward;log_sigmoid_forward.output,✅,✅,✅,LogSigmoid
aclnnLogSoftmax,✅,_log_softmax,✅,✅,✅,LogSoftmax;LogSoftmaxExt
aclnnLogSoftmaxBackward,✅,_log_softmax_backward_data;_log_softmax_backward_data.out,✅,✅,✅,LogSoftmaxGrad
aclnnLogSumExp,✅,logsumexp;logsumexp.names;logsumexp.names_out;logsumexp.out,✅,✅,✅,LogSumExp
aclnnLogdet,✖️,,✖️,✖️,✖️,
aclnnLogicalAnd,✅,logical_and;logical_and.out,✅,✅,✅,LogicalAnd
aclnnLogicalNot,✅,logical_not;logical_not.out,✅,✅,✅,LogicalNot
aclnnLogicalOr,✅,logical_or;logical_or.out,✅,✅,✅,LogicalOr
aclnnLogicalXor,✅,logical_xor;logical_xor.out,✅,✅,✅,LogicalXor
aclnnLogit,✅,logit;logit.out,✖️,✖️,✖️,
aclnnLogitGrad,✅,logit_backward;logit_backward.grad_input,✖️,✖️,✖️,
aclnnLtScalar,✅,lt.Scalar;lt.Scalar_out;lt.Tensor;lt.Tensor_out,✅,✅,✅,LessScalar
aclnnLtTensor,✅,lt.Scalar;lt.Scalar_out;lt.Tensor;lt.Tensor_out,✅,✅,✅,Less
aclnnMaskedSelect,✅,masked_select;masked_select.out,✅,✅,✅,MaskedSelect
aclnnMaskedSoftmaxWithRelPosBias,✅,npu_masked_softmax_with_rel_pos_bias,✖️,✖️,✖️,
